,date,fiscal_balance,velocity_supply_as_percent_gdp,supply_to_gdp_percent,consumer_approval,consumer_disapproval,consumer_ambivalent,money_supply_trend,approval_trend,value,value_trend
53,1987-04-01,1359710193.8262024,2.5634734628425573,158.9082746797623,12.38,46.19,41.43,3.250151158802213,13.630642242031868,8.95666666666667,10.86271548023252
54,1987-07-01,1843012574.0903015,3.3790746866443464,157.91645028404636,8.57,51.43,40.0,3.2160863976500518,13.528853248163188,9.87666666666667,10.770746401434657
55,1987-10-01,1693526813.0402985,3.0495136568235206,158.14400971935655,11.9,45.24,42.86,3.18111235293491,13.424940166158038,9.66666666666666,10.677557321810644
56,1988-01-01,1687425638.8148956,2.9830293998041246,158.2385781824789,12.86,49.05,38.1,3.14513458357851,13.318505836241986,9.48333333333334,10.583194377790685
57,1988-04-01,1583329896.3188934,2.755564703331276,158.53806962536368,11.9,50.0,38.1,3.1080866451818907,13.209221586500885,9.37333333333333,10.487704948371388
58,1988-07-01,1910789008.1124115,3.245919903341364,157.991919071392,10.95,52.38,36.67,3.0699293729637014,13.09682679126924,9.95,10.391137635174097
59,1988-10-01,1531396082.9950867,2.5712829763408327,158.73212869144783,14.29,45.24,40.48,3.0306500069112876,12.981127996904839,9.89666666666667,10.293542243588478
60,1989-01-01,2098537954.1481018,3.4267575423530094,157.79894100455604,14.29,44.29,41.43,2.9902611727499497,12.861997645613348,9.85333333333333,10.194969764355747
61,1989-04-01,1860914212.7019043,2.9886698425431173,158.18774314151645,9.52,50.0,40.48,2.948799731988475,12.739372427280689,10.3,10.095472354976
62,1989-07-01,1910070317.793106,3.009658673114646,158.2087344272583,11.9,47.62,40.48,2.9063255139517725,12.613251288565131,10.09,9.995103320353993
63,1989-10-01,2339145580.0054016,3.5859387893353523,157.5105934355114,13.33,42.38,44.29,2.8629199423641785,12.483693127795185,10.52,9.893917092127955
64,1990-01-01,2289647517.204788,3.434859358445225,157.57099879480253,12.38,42.86,44.76,2.8186845686997084,12.35081420351354,11.5466666666667,9.791969206155823
65,1990-04-01,2211230928.7400055,3.253238505635837,157.7850023311648,11.9,52.86,35.24,2.7737395241682883,12.214785283801373,12.3166666666667,9.689316277663485
66,1990-07-01,2703400261.1399994,3.8620578156631113,157.07390067636555,11.9,50.48,37.62,2.7282219018596914,12.075828562811525,12.03,9.58601597358958
67,1990-10-01,2951486358.373398,4.09552126123848,156.66371825534205,12.38,54.29,33.33,2.682284080219664,11.934214370233189,11.3166666666667,9.48212698169139
68,1991-01-01,2759285225.5915985,3.7454626918725142,156.99843461260247,13.33,47.62,39.05,2.636091998685446,11.790257698704856,10.3366666666667,9.377708976006488
69,1991-04-01,2573817669.469406,3.4271606561644608,157.43510630546908,13.33,49.05,37.62,2.5898233959605976,11.644314573486398,10.3833333333333,9.272822578294733
70,1991-07-01,3030491742.315399,3.92141364552978,156.9154304637437,13.81,49.52,36.67,2.543666021061806,11.496778287995362,9.98333333333333,9.167529315115296
71,1991-10-01,3180343897.6343994,4.005451283281176,156.7316251929565,9.52,50.48,40.0,2.497815826923047,11.348075528106587,9.71666666666667,9.061891570223391
72,1992-01-01,2851770372.3533936,3.523376727775908,157.27644649276957,13.33,51.43,35.24,2.4524751559952223,11.198662407408516,9.48,8.955972532001464
73,1992-04-01,2807276093.0588074,3.3988599645169684,157.5218067167687,16.67,51.43,31.9,2.4078509269321073,11.04902043490355,9.19,8.849836135669522
74,1992-07-01,2560832952.0975037,3.0500677282924773,158.01048368546165,13.81,48.57,37.62,2.3641528311061806,10.899652435934097,9.19666666666666,8.743547000049448
75,1992-10-01,2531973839.425995,2.96308525877404,158.21701530232542,14.29,45.24,40.48,2.3215915473506383,10.751078446409991,8.38666666666667,8.637170358688048
76,1993-01-01,2297777462.9924927,2.651391925747528,158.65484725883098,14.29,44.76,40.95,2.2803769829766107,10.603831599707096,7.98666666666666,8.53077198517369
77,1993-04-01,2163141655.0378113,2.4623660210244522,158.97702902475322,12.86,46.67,40.48,2.240716548767339,10.458454024901124,8,8.424418112511368
78,1993-07-01,949276578.293396,1.0852595887480503,160.74947590325172,13.81,44.29,41.9,2.2028134753037993,10.315492774294755,7.21666666666667,8.318175346451108
79,1993-10-01,1446924645.0393982,1.633893691450749,160.4105242898651,9.52,51.9,38.57,2.1668651776289733,10.175495797490282,6.7151,8.212110572694579
80,1994-01-01,1463739453.9822083,1.635932860207373,160.4016294269805,9.52,48.57,41.9,2.1330616749107154,10.039007978554219,6.8512,8.106290857934916
81,1994-04-01,1799728680.712799,1.9812084850798592,159.97143452152528,13.33,48.57,38.1,2.1015840714158713,9.906567252114339,8.2777,8.000783344714645
82,1994-07-01,1101499478.5412903,1.2100322874366372,160.84644524701932,7.62,50.0,42.38,2.0726031047610567,9.778700813523832,8.69376666666667,7.895655140116776
83,1994-10-01,1783020676.248108,1.9262438014155128,160.1070115884305,10.48,50.48,39.05,2.0462777670582044,9.655921437521341,8.66573333333334,7.790973198334038
84,1995-01-01,1675553287.0701904,1.7905468630105774,160.16419637158833,10.48,42.86,46.67,2.022754004225742,9.538723919109822,8.66146666666667,7.686804197191333
